"ii" "jj" "X1" "X2" "X3" "X4" "X5" "X6" "X31" "X32" "X33" "X34" "X35" "X36"
"201" 0 1 0.458 1.206 0.136 0.975 1.171 1.815 0.760927211266085 1.24929331633742 0.937280819989988 1.33567094640494 1.06349730014698 1.50715771225285
"202" 0 2 0.234 0.128 0.377 0.455 0.52 0.401 1.38433323299618 0.768908627662755 0.922206969672606 0.997672606299803 0.9550706432765 0.648030183049699
"203" 0 3 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.378 1.08439304876312 1.04387880060225 1.13237071541832 1.02044119311208 0.971646456270338 0.891016228291674
"204" 0 4 1.033 1.045 0.798 1.048 0.862 0.836 1.38025129143341 1.44818352258437 1.42204388874061 1.22618186774305 1.49778250606404 1.10826215540786
"205" 0 5 0.364 0.574 0.468 0.631 0.54 0.587 1.38635677297014 1.16670286430882 1.43083064112455 1.24488446321464 1.18486996237079 0.83081548042534
"206" 0 6 1.162 1.128 1.264 0.882 1.31 0.934 1.56756172995719 1.71288945535973 1.51600655388071 1.42143049082589 1.37664500630953 1.26457947503238
"207" 0 7 2.982 3.066 3.018 3.213 2.959 2.628 1.69962368201789 1.99473447167910 2.12469539962103 1.85488843630507 2.01934134981631 1.85206784919294
"208" 0 8 2.665 3.116 2.76 3.464 3.319 3.243 2.14069404909453 1.96481683770496 1.78906008508504 2.00872707059057 2.17896492153521 2.05326411935023
"209" 0 9 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0710000000000002 0.0550000000000002 0.227 1.5140151150419 1.01779911148400 1.13101629488695 1.03335592718499 1.12873536233961 1.38778732203973
"210" 0 10 0.745 0.837 0.51 1.306 0.653 1.059 1.51733744094466 1.53846860393519 1.48582449868761 1.44057364866118 1.5793793463055 1.51363965792597
"211" 0 11 0.501 0.4 0.0550000000000002 0.412 0.389 0.2 1.20254419586395 1.43547825956658 1.38537559820858 1.40878637667305 1.35822275582932 1.2328554346627
"212" 0 12 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.25386581171523 1.31806044222330 1.35746802550278 1.40341953465343 1.28895330918189 1.25036233620127
"213" 1 1 3.535 3.522 3.695 3.104 3.189 3.081 1.96003451856306 1.92459862821942 2.13423882409530 1.6421114323615 1.92889115291447 1.75670831615772
"214" 1 2 0.0550000000000002 0.4 0.0550000000000002 0.39 0.0550000000000002 2.391 0.833178289817734 1.00138721963043 0.95336386072892 0.977135990702533 0.605847284756505 1.54252802926609
"215" 1 3 0.458 0.911 0.814 1.418 1.424 0.711 1.24054535702435 1.4408289934652 1.29367355725988 1.40163331651401 1.22906611331296 1.48618617143811
"216" 1 4 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.26729541615724 1.29794291487523 1.02565181804609 1.34061483928902 0.952206076700847 1.16570624902980
"217" 1 5 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.11127048184052 1.39584232825029 1.15801373830455 1.11602135794867 0.743461564224091 0.786305223352806
"218" 1 6 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 0.0550000000000002 1.50156271060915 1.26243626060671 1.26548676363031 1.0987076272062 1.08341838521871 1.33319868806994
